question_id,question,answer,can_raw,can_pct,uk_raw,uk_pct,us_raw,us_pct
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Excellent,384,12.7,398,13.6,401,9.4
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Good,1251,41.3,1133,38.6,1937,45.5
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Only fair,1057,34.9,1088,37.1,1614,37.9
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Poor,339,11.2,313,10.7,305,7.2
1,"Some people know more about artificial intelligence than other people due to their experience with it. Would you say you personally have an excellent, good, only fair or poor understanding of what artificial intelligence is?",Total,3031,100.0,2932,100.0,4257,100.0
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Very positive,331,10.9,367,12.5,277,6.5
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Mostly positive,1852,61.0,1699,57.6,2580,60.7
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Mostly negative,608,20.0,582,19.8,1092,25.7
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",Very negative,122,4.0,113,3.8,187,4.4
2,"Overall, what impact do you believe artificial intelligence will have on how people work and live in the next 10 years?",No impact,125,4.1,186,6.3,115,2.7
3,"Thinking about the number of jobs in [Field-COUNTRY], do you believe an increase in the use of artificial intelligence will…",Create more jobs than artificial intelligence eliminates,725,23.9,686,23.2,663,15.6
3,"Thinking about the number of jobs in [Field-COUNTRY], do you believe an increase in the use of artificial intelligence will…",Eliminate more jobs than artificial intelligence creates,1859,61.2,1765,59.8,3009,70.8
3,"Thinking about the number of jobs in [Field-COUNTRY], do you believe an increase in the use of artificial intelligence will…",Have no impact on number of jobs in ${e://Field/COUNTRY},455,15.0,500,16.9,577,13.6
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Increase the number of good jobs available to most people,989,32.5,846,28.6,1100,25.9
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Decrease the number of good jobs available to most people,1499,49.2,1435,48.6,2376,56.0
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Have no impact on the number of good jobs available to most people,560,18.4,673,22.8,770,18.1
4,"Thinking about the types of jobs in [Field-COUNTRY],
do you believe an increase in the use of artificial intelligence will…",Total,3048,100.0,2955,100.0,4246,100.0
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Major threat,801,26.4,796,27.0,1100,25.8
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Minor threat,1098,36.1,1242,42.1,1304,30.6
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Not a threat,1140,37.5,912,30.9,1852,43.5
5,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to immigration",Total,3039,100.0,2950,100.0,4256,100.0
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Major threat,1058,34.8,940,31.9,1512,35.5
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Minor threat,1539,50.6,1544,52.4,2214,52.1
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Not a threat,443,14.6,464,15.8,527,12.4
6,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to the growing adoption of artificial
  intelligence",Total,3040,100.0,2948,100.0,4253,100.0
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Major threat,1569,51.6,1460,49.4,2578,60.6
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Minor threat,1207,39.7,1185,40.1,1451,34.1
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Not a threat,262,8.6,309,10.5,223,5.2
7,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years? Job loss due to businesses moving jobs outside [Field-COUNTRY]",Total,3038,100.0,2954,100.0,4251,100.0
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Major threat,1480,48.6,1136,38.5,1752,41.2
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Minor threat,1315,43.2,1427,48.4,1893,44.5
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Not a threat,249,8.2,388,13.1,606,14.3
8,"Is each of the following a major threat, minor threat, or not a threat to jobs in [COUNTRY] in the next 10 years?  Job loss due to increased tariffs and other trade
barriers",Total,3045,100.0,2951,100.0,4252,100.0
9,"Which
of the following do you believe is a greater threat to jobs in [Field-COUNTRY]
in the next 10 years?",Job loss due to companies leaving the UK or scaling back operations after Brexit,,,2095,71.1,,
9,"Which
of the following do you believe is a greater threat to jobs in [Field-COUNTRY]
in the next 10 years?",Job loss due to the growing adoption of artificial intelligence,,,852,28.9,,
9,"Which
of the following do you believe is a greater threat to jobs in [Field-COUNTRY]
in the next 10 years?",Total,,,2947,100.0,,
10,"When you use products or services that employ
artificial intelligence, how often do you worry that your personal information
is at risk?",Very often,635,20.9,515,17.4,1199,28.2
10,"When you use products or services that employ
artificial intelligence, how often do you worry that your personal information
is at risk?",Often,1282,42.1,1184,40.0,1783,41.9
