City,Land Area,Revised Area,Density,Percent of Residents within Half-Mile Walk of Park,City Population,Acres of Parkland,"Parkland per 1,000 Residents"
"New York, NY","193,692","187,946",46.18,99%,8679888,40764,4.7
"Los Angeles, CA","299,949","295,015",13.57,61%,4002721,36934,9.2
"Chicago, IL","145,686","136,796",20.24,98%,2768416,13563,4.9
"Houston, TX","383,737","370,271",6.37,58%,2358708,40727,17.3
"Phoenix, AZ","330,690","327,729",4.93,49%,1616300,49653,30.7
"Philadelphia, PA","85,825","82,913",19.2,95%,1591765,11034,6.9
"San Antonio, TX","294,997","292,298",4.99,42%,1457400,30407,20.9
"San Diego, CA","208,120","205,918",6.83,79%,1405422,39269,27.9
"Dallas, TX","217,932","215,676",6.29,69%,1356896,20352,15
"Charlotte/Mecklenburg, NC","335,259","346,966",3.15,36%,1092533,20932,19.2
"San Jose, CA","112,977","111,953",9.3,78%,1040606,15808,15.2
"Honolulu, HI","384,474","379,885",2.67,69%,1014168,66210,65.3
"Austin, TX","190,653","186,902",5.19,59%,969733,17568,18.1
"Jacksonville, FL","478,082","467,298",1.94,35%,907722,67993,74.9
"Fort Worth, TX","217,484","214,065",4.12,60%,882972,12065,13.7
"San Francisco, CA","29,999","29,980",29.3,100%,878294,5888,6.7
"Columbus, OH","138,988","133,309",6.58,59%,876962,11769,13.4
"Indianapolis, IN","231,317","225,965",3.83,n.a.,864472,11464,13.3
"Denver, CO","97,920","74,797",9.56,90%,714708,6242,8.7
"Seattle, WA","53,723","52,765",13.46,96%,710295,6613,9.3
"El Paso, TX","163,351","159,763",4.37,56%,698533,30731,44
"Washington, DC","39,071","38,955",17.68,98%,688642,8232,12
"Nashville/Davidson, TN","304,080","318,562",2.15,42%,684946,33997,49.6
"Boston, MA","30,897","29,175",23.13,100%,674913,5072,7.5
"Memphis, TN","201,635","196,098",3.38,45%,662038,9194,13.9
"Detroit, MI","88,800","87,844",7.47,80%,656573,5873,8.9
"Portland, OR","85,393","81,625",7.99,89%,652565,14654,22.5
"Las Vegas, NV","86,921","86,921",7.36,74%,639625,16900,26.4
"Louisville, KY","237,115","216,524",2.92,38%,632268,17750,28.1
"Baltimore, MD","51,804","51,318",11.95,87%,613084,4921,8
"Milwaukee, WI","61,518","59,126",9.94,90%,587575,5537,9.4
"Albuquerque, NM","120,147","116,051",4.92,87%,571471,26990,47.2
"Oklahoma City, OK","132,805","382,600",1.43,38%,545908,14787,27.1
"Tucson, AZ","145,094","147,504",3.67,63%,541841,4563,8.4
"Fresno, CA","71,652","71,486",7.4,67%,528920,2957,5.6
"Mesa, AZ","87,330","83,578",6,65%,501137,2922,5.8
"Sacramento, CA","62,666","61,972",8.08,82%,500667,4297,8.6
"Kansas City, MO","201,568","195,245",2.55,69%,497311,17771,35.7
"Long Beach, CA","32,188","31,066",15.48,83%,480903,3126,6.5
"Atlanta, GA","85,217","84,250",5.67,71%,477371,5285,11.1
"Colorado Springs, CO","124,506","118,043",3.99,74%,471059,11048,23.5
"Raleigh, NC","91,458","91,399",5.14,57%,469363,9874,21
"Virginia Beach, VA","159,370","159,341",2.9,64%,461588,24940,54
"Miami, FL","22,957","22,949",19.78,86%,453952,1500,3.3
"Omaha, NE","81,337","78,087",5.77,80%,450466,10206,22.7
"Oakland, CA","35,703","33,181",12.67,87%,420486,3867,9.2
"Minneapolis, MN","34,543","33,958",12.37,96%,419897,5072,12.1
"Tulsa, OK","125,923","123,993",3.35,59%,415675,10148,24.4
"Wichita, KS","101,949","98,973",4.05,53%,400599,5007,12.5
"New Orleans, LA","108,431","107,655",3.65,80%,392887,27835,70.8
"Arlington, TX","61,364","60,876",6.4,57%,389547,4714,12.1
"Bakersfield, CA","90,985","90,527",4.24,46%,383573,5339,13.9
"Cleveland, OH","49,726","46,880",8.13,82%,381226,3166,8.3
"Tampa, FL","72,582","70,089",5.42,62%,379551,5264,13.9
"Aurora, CO","99,030","98,788",3.75,88%,370647,10424,28.1
"Anaheim, CA","31,895","31,890",11.27,66%,359477,2663,7.4
"Santa Ana, CA","17,453","17,453",19.61,75%,342217,739,2.2
"Corpus Christi, TX","102,791","100,553",3.35,75%,337094,8595,25.5
"Lexington/Fayette, KY","181,536","180,899",1.79,53%,323298,4421,13.7
"Riverside, CA","51,930","51,568",6.24,51%,321943,3281,10.2
"St. Louis, MO","39,622","39,090",8.07,95%,315273,3696,11.7
"Stockton, CA","39,469","38,918",8.04,74%,313009,1157,3.7
"Pittsburgh, PA","35,435","35,349",8.79,91%,310884,3683,11.8
"Cincinnati, OH","49,883","48,724",6.34,77%,308969,6892,22.3
"St. Paul, MN","33,266","32,363",9.45,98%,305840,4941,16.2
"Anchorage, AK","1,090,997","1,086,019",0.28,75%,303421,914138,3012.8
"Henderson, NV","68,948","68,542",4.36,52%,298927,9127,30.5
"Plano, TX","45,812","45,812",6.44,75%,295013,4375,14.8
"Greensboro, NC","80,970","80,844",3.57,63%,288594,7908,27.4
"Lincoln, NE","57,033","53,666",5.36,91%,287896,3818,13.3
"Orlando, FL","65,533","54,494",5.26,63%,286678,3361,11.7
"Newark, NJ","15,480","14,054",20.21,93%,284054,838,3
"Toledo, OH","51,643","51,169",5.45,81%,278978,3166,11.3
"Jersey City, NJ","9,468","9,261",30.08,93%,278539,1677,6
"Chandler, AZ","41,224","40,941",6.73,62%,275654,1536,5.6
"Chula Vista, CA","31,764","31,764",8.58,67%,272387,2133,7.8
"Durham, NC","68,717","68,678",3.95,51%,271001,2623,9.7
"Irvine, CA","42,308","42,308",6.4,80%,270731,11582,42.8
"Laredo, TX","56,901","55,391",4.86,54%,268976,1182,4.4
"Fort Wayne, IN","70,796","69,318",3.81,n.a.,264159,2400,9.1
"Gilbert, AZ","43,496","43,496",6.01,n.a.,261287,1212,4.6
"Lubbock, TX","78,343","76,929",3.39,55%,260624,2228,8.5
"Buffalo, NY","25,846","25,308",10.28,89%,260157,1922,7.4
"St. Petersburg, FL","39,515","39,375",6.61,75%,260094,6154,23.7
"Madison, WI","49,145","47,519",5.44,94%,258275,6646,25.7
"Reno, NV","65,926","63,001",4.05,75%,255055,3446,13.5
"Norfolk, VA","34,637","33,186",7.53,75%,249954,1781,7.1
"Scottsdale, AZ","117,709","117,089",2.13,40%,249005,31474,126.4
"Glendale, AZ","38,385","38,196",6.49,75%,247804,2149,8.7
"Chesapeake, VA","218,112","216,639",1.14,42%,246615,56258,228.1
"Winston-Salem, NC","84,767","83,917",2.93,36%,246224,3856,15.7
"Garland, TX","36,534","36,520",6.69,62%,244303,2440,10
"Irving, TX","42,891","37,060",6.58,62%,243678,1956,8
"North Las Vegas, NV","64,861","63,941",3.81,63%,243535,16731,68.7
"Hialeah, FL","13,728","13,666",17.09,68%,233504,208,0.9
"Baton Rouge, LA","49,246","48,353",4.82,53%,233114,1436,6.2
"Fremont, CA","49,574","49,516",4.66,68%,230734,24454,106
"Boise, ID","50,793","48,343",4.71,69%,227531,4327,19
"Arlington, VA","16,623","15,878",14.33,98%,227454,1760,7.7
"Des Moines, IA","58,023","56,255",4.04,69%,227308,6972,30.7
